team,top,jng,mid,bot,sup,eliminated
HLE,Doran,Peanut,Zeka,Viper,Delight,true
BLG,Bin,Xun,knight,Elk,On,true
G2,BrokenBlade,Yike,Caps,Hans Sama,Mikyx,true
FLY,Bwipo,Inspired,Quad,Massu,Busio,true
GenG,Kiin,Canyon,Chovy,Peyz,Lehends,true
TOP,369,Tian,Creme,JackeyLove,Meiko,true
FNC,Oscarinin,Razork,Humanoid,Noah,Jun,true
TL,Impact,UmTi,APA,Yeon,CoreJJ,true
DK,Kingen,Lucid,ShowMaker,Aiming,Kellin,true
T1,Zeus,Oner,Faker,Gumayusi,Keria,true
LNG,Zika,Weiwei,Yagao,GALA,Hang,true
WBG,Breathe,Tarzan,Xiaohu,Light,Crisp,true
MDK,Myrwn,Elyoya,Fresskowy,Supa,Alvaro,true
100T,Sniper,River,Quid,Tomo,Eyla,true
PSG,Azhi,JunJia,HongSuo,Betty,Woody,true
GAM,Kiaya,Levi,Emo,EasyLove,Elio,true
SHG,Evi,Forest,DasheR,Marble,Vsta,true
VKE,Nanaue,Tomrio,Kati,Shogun,Bie,true
R7,Summit,Oddie,Keine,Ceo,Lyonz,true
PNG,Wizer,Cariok,dyNquedo,TitaN,Kuri,true
