stage,name,start_str,end_str,locked
playins,playins_day_1,2024-09-25,2024-09-26,true
playins,playins_day_2,2024-09-26,2024-09-27,true
playins,playins_day_3,2024-09-27,2024-09-28,true
playins,playins_day_4,2024-09-28,2024-09-29,true
playins,playins_day_5,2024-09-29,2024-09-30,true
swiss,swiss_round_1,2024-10-03,2024-10-04,true
swiss,swiss_round_2,2024-10-04,2024-10-05,true
swiss,swiss_round_3,2024-10-05,2024-10-08,true
swiss,swiss_round_4,2024-10-10,2024-10-13,true
swiss,swiss_round_5,2024-10-13,2024-10-14,true
knockout,quaterfinals,2024-10-17,2024-10-21,true
knockout,semifinals,2024-10-26,2024-10-28,true
knockout,finals,2024-11-02,2024-11-03,true
